Tree number,Size (cm)
1,40
2,38
3,35
4,16
5,14
6,40
7,43
8,27
9,77
10,27
11,33
12,27
13,65
14,47
15,9
16,8
17,8
18,10
19,32
20,35
21,44
22,67
23,95
24,21
25,14
26,65
27,218
28,155
29,10
30,25
31,60
32,38
33,67
34,38
35,73
36,68
37,18
38,41
39,142
40,52
41,61
42,37
43,26
44,72
45,86
46,36
47,67
48,120
49,142
50,67
51,79
52,45
53,68
54,81
55,30
56,34
57,64
58,86
59,92
60,39
61,127
62,44
63,38
64,43
65,31
66,5
67,5
68,30
69,1
70,48
71,37
72,68
73,41
74,38
75,36
76,32
77,45
78,79
79,36
80,49
81,65
82,51
83,58
84,31
85,33
86,28
87,41
88,51
89,58
90,62
91,47
92,42
93,46
94,38
95,36
96,47
97,49
98,33
99,53
100,24
101,59
102,43
103,20
104,22
105,23
106,79
107,56
108,35
109,39
110,17
111,22
112,18
113,15
114,44
115,57
116,15
117,23
118,21
119,24
120,17
