Feature,Permutation,Gradient,Correlation,Permutation_norm,Gradient_norm,Correlation_norm,Average_Importance
red,0.17377888666093355,0.6758418,0.0958193854572191,0.4506765970907933,0.81163526,1.0,0.7541039509681307
green,0.19625378105044344,0.6371083,0.06834403789398713,0.5089627854653463,0.76511925,0.713258987916396,0.6624470093236078
SI_M_TLSO,0.3855955418646335,0.7682459,0.0009533197861637083,1.0,0.9226056,0.009949132752362946,0.6441849022944582
blue,0.11301366898417431,0.53335655,0.07312547985499196,0.2930886297016595,0.64052117,0.7631595580170007,0.5655897854758205
BA_HA_LS,0.14397595214843673,0.83269155,0.030334065894775216,0.3733859355640078,1.0,0.3165754586092456,0.5633204647244178
elevation,-0.21083431707322653,0.7248345,0.004676708350829641,0.5467758160628362,0.8704718,0.048807538563453545,0.4886850433860195
HT_TLSO,0.057087429285049396,0.5884679,0.057487695225641525,0.14805002414963192,0.70670575,0.599958922208996,0.4849048984645032
VHA_WSV_LS,0.17388642273843224,0.52806765,0.033306844745495966,0.4509554801841472,0.6341696,0.34760027510682184,0.4775751112810717
AGEB_TLSO,0.10203981192409994,0.6676371,0.028463249590190004,0.26462912779194386,0.801782,0.29705105552882216,0.45448739843551494
ndvi,0.08791696745157207,0.49833947,0.039811757843297504,0.2280030703322707,0.59846824,0.4154875096863613,0.41398627469813576
STEMS_HA_LS,-0.01995134159922607,0.31696022,0.06173331311528337,0.05174162933198577,0.3806454,0.6442674707285168,0.3588848314619197
aspect,0.024513474747537956,0.41399813,0.040108281875635435,0.0635730242860111,0.49718064,0.41858212390166866,0.32644526296171966
nir,-0.04376492996513903,0.50944734,0.011033927140329079,0.1134995745892287,0.611808,0.1151533908058244,0.28015365579671325
slope,0.05336573369801023,0.3605041,0.006438236771899836,0.13839821238582864,0.43293834,0.06719138033685619,0.21284264334957823
evi,0.00024410969018884288,0.18672195,0.00039033334367884106,0.000633071868539755,0.22423904,0.004073636475712056,0.07631524826170037
