feature,permutation_importance,permutation_std,gradient_importance,correlation
VHA_WSV_LS,0.00023091321893808567,1.2130874931319536e-05,0.0005132754,0.013390482352666466
nir,0.00014348755365093066,8.745961973825322e-05,0.0005964675,0.023921133492743094
ndvi,4.483171492309276e-05,4.648880427183353e-06,0.00048852497,0.008409820212174953
elevation,4.287954026383744e-05,4.100618046150423e-06,0.000526215,0.012039950471955585
slope,2.5270821603146896e-05,1.3719403588433469e-06,0.00036361685,0.03248209931592601
aspect,2.414826518908816e-05,4.818810293036271e-06,0.00047252356,0.0183519906555981
SI_M_TLSO,1.489300523637461e-05,6.92153586026869e-06,0.00064288365,0.018820694642780942
evi,-3.661411951058046e-06,7.968621520818799e-07,0.00055782363,0.0003182460201037487
green,-1.2133032901316329e-05,1.0576547001694963e-05,0.0037543757,0.04175834535366159
STEMS_HA_LS,-1.7210035967672847e-05,7.270140430767684e-06,0.00040147314,0.04666292549122464
HT_TLSO,-2.1452360771395906e-05,8.600245462132215e-06,0.00031030056,0.029510022783396622
BA_HA_LS,-0.00012145876516395208,7.072661661174651e-07,0.0009746043,0.006123407413981606
blue,-0.0001218311226506864,0.00016754866982227355,0.0043613734,0.03762621116453987
red,-0.00032308999032656477,0.0002692058517800852,0.0026839823,0.05046084433458426
AGEB_TLSO,-0.000760097892805572,0.00014859790979858566,0.00046012827,0.0065397726678947795
