lat,lon,bec_zone,map_label,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,trend_slope,trend_pvalue,trend_class,top_k_years,consistent_core
50.267625,-127.380064,CWH,CWHvm2,0.06141795,0.6616664,0.13599955,0.15564208,0.026199391,0.50093096,0.36200908,0.047115,35.6,77.33,53.15,59.24,23.630000000000003,53.55,63.1,45.48,-0.70033336,1.0,stable,0,False
51.288659,-126.382191,CWH,CWHvm2,0.13353786,0.054341078,0.02314007,0.03998369,0.107742965,0.13741818,0.0744493,0.005326,48.88,25.8,23.880000000000003,37.71,43.480000000000004,28.79,35.15,16.03,-1.7741667,0.39875993,stable,0,False
50.2734,-127.543359,CWH,CWHvm2,0.5652224,0.9557538,0.80550206,0.8777256,0.76533294,0.9781356,0.639835,0.391207,79.97999999999999,95.47,92.13,94.63000000000001,87.98,92.25,78.62,80.87,-1.6325,0.39875993,stable,1,False
49.763759,-121.297871,CWH,CWHms1,0.4374171,0.27831784,0.24898659,0.11940641,0.11394397,0.1936275,0.053242154,0.017658,73.91,53.26,64.64,54.49,44.529999999999994,33.48,30.580000000000002,30.64,-6.636667,0.0055059525,declining,0,False
49.076822,-121.722146,CWH,CWHdm,0.9058602,0.89851373,0.77968955,0.876586,0.9196618,0.97444874,0.8814889,0.842896,94.95,91.05,91.28,94.61,95.04,91.36,91.23,95.35,0.04657143,0.5484127,stable,2,False
50.454616,-122.898773,CWH,CWHds1,0.039784256,0.16464913,0.044116817,0.051524743,0.08620083,0.67701954,0.21498922,0.15584,29.2,42.84,33.5,41.349999999999994,39.62,63.82,52.470000000000006,64.64999999999999,4.39625,0.031150794,increasing,0,False
52.787668,-129.02433,CWH,CWHvh2,0.21524678,0.086285196,0.035502158,0.07561633,0.05466184,0.13099006,0.033896375,0.074844,58.24,32.43,29.99,46.9,33.08,28.310000000000002,25.34,53.13,-1.29025,0.39875993,stable,0,False
52.535736,-128.156752,CWH,CWHvh2,0.065218955,0.08408651,0.0077877,0.002599036,0.016472872,0.11570841,0.031300105,0.024173,36.7,31.96,11.05,7.6,18.04,26.71,24.4,35.32,0.18142857,1.0,stable,0,False
49.211047,-121.770637,CWH,CWHdm,0.022399265,0.05535543,0.013246667,0.038895223,0.03488331,0.07768825,0.026505936,0.016183,21.51,26.009999999999998,16.669999999999998,37.35,27.089999999999996,22.23,22.62,29.310000000000002,0.47,0.39875993,stable,0,False
51.127314,-127.004095,CWH,CWHvm2,0.04325642,0.21456532,0.013131623,0.014621199,0.022512516,0.0406491,0.02032064,0.041964,30.55,47.61,16.5,24.099999999999998,21.92,16.18,19.89,43.730000000000004,-1.2091666,0.5484127,stable,0,False
53.195603,-129.328744,CWH,CWHvh2,0.016205434,0.020214023,0.011857232,0.012132027,0.05530309,0.014828604,0.0048421756,0.006873,17.87,14.39,15.39,21.69,33.22,8.05,8.38,18.790000000000003,-0.2967857,1.0,stable,0,False
